rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
1,tools/localization/yarn.lock,0.5,30726.0,51.0,4.0,0.0,0.010068892421833599,0,NONE,
2,AnkiDroid/src/main/assets/changelog.html,0.3329200026036581,2023.0,6.0,1.0,115.0,0.010068892421833599,0,MAJOR,"MINOR:100, MAJOR:15"
3,AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.kt,0.2971262972302171,8302.0,213.0,27.0,11.0,2.0100688924218337,2,CRITICAL,"MAJOR:4, INFO:4, CRITICAL:3"
4,AnkiDroid/src/test/resources/anking_v11_tags.txt,0.2761667643038469,16971.0,1.0,1.0,0.0,0.010068892421833599,0,NONE,
5,AnkiDroid/src/main/java/com/ichi2/anki/dialogs/customstudy/CustomStudyDialog.kt,0.25592247324882766,2635.0,69.0,11.0,5.0,3.0100688924218337,3,CRITICAL,"INFO:4, CRITICAL:1"
6,AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.kt,0.19402352914540583,5582.0,236.0,33.0,14.0,1.0100688924218335,1,CRITICAL,"MAJOR:3, INFO:8, CRITICAL:3"
7,AnkiDroid/src/main/java/com/ichi2/anki/AnkiActivity.kt,0.15242140206990823,1173.0,49.0,15.0,0.0,2.0100688924218337,2,NONE,
8,AnkiDroid/src/main/java/com/ichi2/anki/browser/CardBrowserViewModel.kt,0.1347600813926175,2902.0,114.0,14.0,8.0,1.0100688924218335,1,MAJOR,"MAJOR:1, INFO:7"
9,AnkiDroid/src/test/java/com/ichi2/testutils/ext/AnkiActivity.kt,0.1337401549176593,25.0,1.0,1.0,0.0,2.0100688924218337,2,NONE,
10,AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.kt,0.131275367978967,1726.0,83.0,19.0,14.0,1.0100688924218335,1,CRITICAL,"MAJOR:4, INFO:5, CRITICAL:5"
11,AnkiDroid/src/main/java/com/ichi2/anki/NoteEditor.kt,0.12350777842869232,3493.0,93.0,14.0,0.0,1.0100688924218335,1,NONE,
12,AnkiDroid/src/main/assets/scripts/card.js,0.09912539727012103,160.0,3.0,2.0,37.0,0.010068892421833599,0,CRITICAL,"MINOR:9, MAJOR:2, CRITICAL:26"
13,AnkiDroid/src/main/java/com/ichi2/anki/CoroutineHelpers.kt,0.09687801578609251,1055.0,41.0,9.0,5.0,1.0100688924218335,1,CRITICAL,"MAJOR:3, INFO:1, CRITICAL:1"
14,AnkiDroid/src/main/java/com/ichi2/anki/dialogs/tags/TagsDialog.kt,0.08521153307353353,819.0,32.0,12.0,2.0,1.0100688924218335,1,MAJOR,"MAJOR:1, INFO:1"
15,AnkiDroid/src/main/java/com/ichi2/anki/provider/CardContentProvider.kt,0.07991798476859988,1224.0,51.0,15.0,23.0,0.010068892421833599,0,CRITICAL,"MAJOR:16, INFO:2, CRITICAL:5"
16,AnkiDroid/src/main/java/com/ichi2/anki/browser/CardBrowserFragment.kt,0.07859212846222856,2425.0,86.0,8.0,15.0,0.010068892421833599,0,CRITICAL,"MAJOR:4, INFO:6, CRITICAL:5"
17,AnkiDroid/src/main/java/com/ichi2/anki/Sync.kt,0.07581201588231465,562.0,46.0,10.0,0.0,1.0100688924218335,1,NONE,
18,AnkiDroid/src/main/java/com/ichi2/anki/CollectionManager.kt,0.07479186300230084,339.0,20.0,4.0,1.0,1.0100688924218335,1,INFO,INFO:1
19,AnkiDroid/src/main/res/values/02-strings.xml,0.07343617782985094,416.0,76.0,29.0,0.0,1.0100688924218335,1,NONE,
20,AnkiDroid/src/main/java/com/ichi2/anki/browser/CardOrNoteId.kt,0.07305570413387331,72.0,5.0,2.0,2.0,1.0100688924218335,1,INFO,INFO:2
21,AnkiDroid/src/test/java/com/ichi2/anki/previewer/PreviewerViewModelTest.kt,0.07254117034433379,361.0,14.0,3.0,0.0,1.0100688924218335,1,NONE,
22,AnkiDroid/src/main/res/values/01-core.xml,0.07202043871639653,329.0,29.0,17.0,0.0,1.0100688924218335,1,NONE,
