rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
1,src/frontend/package-lock.json,0.5,48070,131,4,0.0,0.00253592561284869,0,NONE,
2,src/helm/meet/templates/ingress.yaml,0.3006032868733097,58,5,3,17.0,0.00253592561284869,0,MAJOR,"MINOR:16, MAJOR:1"
3,src/sdk/consumer/.vite/deps/react-dom_client.js,0.22583732057416267,21712,1,1,0.0,0.00253592561284869,0,NONE,
4,src/frontend/yarn.lock,0.2198148533388808,21133,4,3,0.0,0.00253592561284869,0,NONE,
5,src/summary/summary/core/celery_worker.py,0.21784897025171626,1716,47,4,0.0,1.0025359256128488,1,NONE,
6,src/helm/extra/templates/minio.yaml,0.213283324563443,146,7,3,12.0,0.00253592561284869,0,MAJOR,MAJOR:12
7,src/helm/extra/templates/clustersecretstore.yaml,0.21219116729279605,41,3,2,12.0,0.00253592561284869,0,MAJOR,MAJOR:12
8,bin/prepare-release.sh,0.19578188670933322,160,1,1,11.0,0.00253592561284869,0,MAJOR,MAJOR:11
9,src/helm/meet/templates/ingress_admin.yaml,0.1942944725216902,17,2,2,11.0,0.00253592561284869,0,MAJOR,"MINOR:10, MAJOR:1"
10,src/frontend/src/features/legalsTerms/TermsOfService.tsx,0.18453174904245037,775,4,2,10.0,0.00253592561284869,0,MAJOR,MAJOR:10
11,src/helm/meet/templates/ingress_posthog.yaml,0.1603317465950391,145,3,2,9.0,0.00253592561284869,0,MAJOR,"MINOR:8, MAJOR:1"
12,src/helm/meet/templates/ingress_webhook.yaml,0.1597596642151764,90,1,1,9.0,0.00253592561284869,0,MAJOR,"MINOR:8, MAJOR:1"
13,src/helm/meet/templates/ingress_posthog_assets.yaml,0.1597492627173607,89,2,2,9.0,0.00253592561284869,0,MAJOR,"MINOR:8, MAJOR:1"
14,src/summary/summary/api/route/tasks_v2.py,0.14266388477587832,143,2,1,8.0,0.00253592561284869,0,BLOCKER,"MAJOR:4, BLOCKER:4"
15,bin/install-external-secrets.sh,0.14215421138290973,94,3,1,8.0,0.00253592561284869,0,MAJOR,MAJOR:8
