file_path,commit_count,additions,deletions,total_churn,unique_contributors
src/frontend/package-lock.json,131,28355,19715,48070,4
src/sdk/consumer/.vite/deps/react-dom_client.js,1,21712,0,21712,1
src/frontend/yarn.lock,4,13596,7537,21133,3
src/sdk/package-lock.json,55,9595,2538,12133,3
src/frontend/visio/package-lock.json,2,3499,0,3499,1
src/sdk/consumer/package-lock.json,2,3231,175,3406,2
src/backend/uv.lock,14,2846,465,3311,4
docker/auth/realm.json,3,2685,419,3104,3
src/mail/package-lock.json,61,2617,477,3094,2
src/mail/yarn.lock,2,1292,1292,2584,2
src/frontend/src/features/rooms/livekit/components/effects/EffectsConfiguration.tsx,36,1639,890,2529,5
src/backend/locale/fr_FR/LC_MESSAGES/django.po,24,1494,871,2365,3
src/backend/locale/en_US/LC_MESSAGES/django.po,23,1460,843,2303,3
docs/examples/keycloak.values.yaml,1,2298,0,2298,1
src/frontend/src/features/rooms/components/Join.tsx,50,1460,687,2147,5
src/backend/locale/nl_NL/LC_MESSAGES/django.po,18,1266,650,1916,2
src/sdk/consumer/.vite/deps/chunk-DEZHIYJM.js,1,1908,0,1908,1
src/frontend/src/features/recording/components/TranscriptSidePanel.tsx,33,934,858,1792,2
src/frontend/src/locales/de/rooms.json,160,1232,556,1788,7
src/summary/summary/core/celery_worker.py,47,1091,625,1716,4
src/backend/core/api/viewsets.py,48,1454,137,1591,5
src/backend/locale/de_DE/LC_MESSAGES/django.po,12,1037,416,1453,2
src/frontend/src/primitives/buttonRecipe.ts,33,958,494,1452,4
src/helm/meet/values.yaml,27,1110,247,1357,7
src/backend/core/tests/test_external_api_rooms.py,12,1241,92,1333,1
docs/installation.md,20,825,455,1280,8
src/frontend/src/locales/fr/rooms.json,173,956,280,1236,6
src/frontend/src/locales/en/rooms.json,169,930,254,1184,6
src/backend/core/models.py,32,1072,55,1127,3
src/backend/core/tests/services/test_lobby_service.py,4,998,105,1103,1
src/frontend/src/locales/nl/rooms.json,101,868,193,1061,5
src/frontend/src/features/rooms/livekit/prefabs/ControlBar.tsx,20,512,489,1001,2
src/backend/core/tests/test_api_resource_accesses.py,4,976,18,994,1
src/frontend/src/features/recording/components/ScreenRecordingSidePanel.tsx,28,514,473,987,2
src/frontend/src/features/home/routes/Home.tsx,45,573,346,919,4
src/sdk/consumer/.vite/deps/react_jsx-dev-runtime.js,1,911,0,911,1
src/frontend/src/layout/Header.tsx,41,538,338,876,4
src/backend/pyproject.toml,132,503,349,852,11
src/backend/core/tests/rooms/test_api_rooms_lobby.py,6,795,56,851,1
src/frontend/src/features/rooms/livekit/prefabs/VideoConference.tsx,43,572,277,849,3
src/backend/core/api/serializers.py,44,675,132,807,3
src/frontend/panda.config.ts,36,631,148,779,3
src/frontend/src/features/legalsTerms/TermsOfService.tsx,4,488,287,775,2
.github/workflows/docker-hub.yml,25,518,244,762,5
src/frontend/src/features/rooms/components/InviteDialog.tsx,18,476,279,755,4
src/backend/meet/settings.py,105,634,113,747,12
src/backend/core/tests/authentication/test_views.py,3,360,360,720,3
Makefile,34,555,162,717,7
src/frontend/src/features/rooms/livekit/components/controls/SelectToggleDevice.tsx,21,354,348,702,2
src/frontend/src/features/rooms/livekit/components/controls/Participants/ParticipantsList.tsx,24,406,294,700,1
src/backend/core/tests/rooms/test_api_rooms_retrieve.py,18,600,100,700,1
src/frontend/package.json,125,363,326,689,3
src/helm/env.d/dev-keycloak/values.meet.yaml.gotmpl,52,524,160,684,5
src/backend/core/tests/rooms/test_api_rooms_participants_management.py,6,641,42,683,1
