file_path,sonar_issue_count,highest_severity,severity_breakdown,type_breakdown
AnkiDroid/src/main/assets/changelog.html,115,MAJOR,"MINOR:100, MAJOR:15",CODE_SMELL:115
AnkiDroid/src/main/assets/scripts/card.js,37,CRITICAL,"MINOR:9, MAJOR:2, CRITICAL:26",CODE_SMELL:37
AnkiDroid/src/main/java/com/ichi2/anki/provider/CardContentProvider.kt,23,CRITICAL,"MAJOR:16, INFO:2, CRITICAL:5",CODE_SMELL:23
AnkiDroid/src/main/java/com/ichi2/anki/NoteEditorFragment.kt,15,CRITICAL,"MAJOR:6, INFO:4, CRITICAL:5",CODE_SMELL:15
AnkiDroid/src/main/java/com/ichi2/anki/browser/CardBrowserFragment.kt,15,CRITICAL,"MAJOR:4, INFO:6, CRITICAL:5",CODE_SMELL:15
AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.kt,14,CRITICAL,"MAJOR:3, INFO:8, CRITICAL:3",CODE_SMELL:14
AnkiDroid/src/main/java/com/ichi2/anki/DeckPickerFloatingActionMenu.kt,14,CRITICAL,"INFO:1, CRITICAL:13",CODE_SMELL:14
AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.kt,14,CRITICAL,"MAJOR:4, INFO:5, CRITICAL:5",CODE_SMELL:14
libanki/src/main/java/com/ichi2/anki/libanki/Collection.kt,13,MAJOR,"MINOR:1, MAJOR:6, INFO:6",CODE_SMELL:13
AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.kt,11,CRITICAL,"MAJOR:4, INFO:4, CRITICAL:3",CODE_SMELL:11
AnkiDroid/src/main/java/com/ichi2/utils/AlertDialogFacade.kt,10,CRITICAL,"MAJOR:8, INFO:1, CRITICAL:1",CODE_SMELL:10
AnkiDroid/src/main/java/com/ichi2/anki/deckpicker/DeckPickerViewModel.kt,10,INFO,INFO:10,CODE_SMELL:10
AnkiDroid/src/main/java/com/ichi2/anki/browser/CardBrowserViewModel.kt,8,MAJOR,"MAJOR:1, INFO:7",CODE_SMELL:8
AnkiDroid/src/main/java/com/ichi2/anki/AnkiDroidApp.kt,8,MAJOR,"MAJOR:1, INFO:7",CODE_SMELL:8
AnkiDroid/src/main/java/com/ichi2/anki/Reviewer.kt,8,CRITICAL,"MAJOR:6, INFO:1, CRITICAL:1",CODE_SMELL:8
AnkiDroid/src/main/java/com/ichi2/anki/JavaScriptSTT.kt,7,CRITICAL,CRITICAL:7,CODE_SMELL:7
AnkiDroid/src/main/java/com/ichi2/anki/ui/dialogs/ActivityAgnosticDialogs.kt,7,CRITICAL,CRITICAL:7,CODE_SMELL:7
AnkiDroid/src/main/java/com/ichi2/anki/IntentHandler.kt,6,MAJOR,"MAJOR:3, INFO:3",CODE_SMELL:6
vbpd/src/main/java/dev/androidbroadcast/vbpd/ActivityViewBindings.kt,6,CRITICAL,CRITICAL:6,CODE_SMELL:6
compat/src/main/java/com/ichi2/anki/compat/CompatHelper.kt,5,MAJOR,MAJOR:5,CODE_SMELL:5
AnkiDroid/src/main/java/com/ichi2/anki/ReadText.kt,5,MAJOR,"MAJOR:2, INFO:3",CODE_SMELL:5
AnkiDroid/src/main/java/com/ichi2/anki/dialogs/ChangeNoteTypeDialog.kt,5,MAJOR,MAJOR:5,CODE_SMELL:5
AnkiDroid/src/main/java/com/ichi2/anki/dialogs/customstudy/CustomStudyDialog.kt,5,CRITICAL,"INFO:4, CRITICAL:1",CODE_SMELL:5
AnkiDroid/src/main/java/com/ichi2/anki/multimedia/MultimediaUtils.kt,5,MAJOR,"MAJOR:4, INFO:1",CODE_SMELL:5
AnkiDroid/src/main/java/com/ichi2/anki/CoroutineHelpers.kt,5,CRITICAL,"MAJOR:3, INFO:1, CRITICAL:1",CODE_SMELL:5
libanki/src/main/java/com/ichi2/anki/libanki/Notetypes.kt,4,MAJOR,"MINOR:2, MAJOR:1, INFO:1",CODE_SMELL:4
AnkiDroid/src/main/java/com/ichi2/anki/multimedia/audio/AudioRecordingController.kt,4,CRITICAL,"INFO:3, CRITICAL:1",CODE_SMELL:4
libanki/src/main/java/com/ichi2/anki/libanki/Decks.kt,4,MAJOR,"MAJOR:2, INFO:2",CODE_SMELL:4
AnkiDroid/src/main/java/com/ichi2/anki/reviewreminders/ReminderTroubleshootingFragment.kt,4,INFO,INFO:4,CODE_SMELL:4
AnkiDroid/src/main/java/com/ichi2/anki/ui/windows/reviewer/AnswerFeedbackView.kt,4,CRITICAL,"INFO:1, CRITICAL:3",CODE_SMELL:4
AnkiDroid/src/main/java/com/ichi2/widget/AnkiDroidWidgetSmall.kt,4,CRITICAL,"MINOR:1, INFO:2, CRITICAL:1",CODE_SMELL:4
AnkiDroid/src/main/java/com/ichi2/anki/AnkiDroidJsAPI.kt,3,CRITICAL,"MAJOR:2, CRITICAL:1",CODE_SMELL:3
AnkiDroid/src/main/java/com/ichi2/anki/cardviewer/CardMediaPlayer.kt,3,CRITICAL,"MAJOR:1, CRITICAL:2",CODE_SMELL:3
AnkiDroid/src/main/java/com/ichi2/anki/CardTemplateEditor.kt,3,MAJOR,"MAJOR:2, INFO:1",CODE_SMELL:3
libanki/src/main/java/com/ichi2/anki/libanki/sched/Scheduler.kt,3,CRITICAL,"MAJOR:1, INFO:1, CRITICAL:1",CODE_SMELL:3
