file_path,sonar_issue_count,highest_severity,severity_breakdown,type_breakdown
src/helm/meet/templates/ingress.yaml,17,MAJOR,"MINOR:16, MAJOR:1",CODE_SMELL:17
src/helm/extra/templates/clustersecretstore.yaml,12,MAJOR,MAJOR:12,CODE_SMELL:12
src/helm/extra/templates/minio.yaml,12,MAJOR,MAJOR:12,CODE_SMELL:12
src/helm/meet/templates/ingress_admin.yaml,11,MAJOR,"MINOR:10, MAJOR:1",CODE_SMELL:11
bin/prepare-release.sh,11,MAJOR,MAJOR:11,CODE_SMELL:11
src/frontend/src/features/legalsTerms/TermsOfService.tsx,10,MAJOR,MAJOR:10,CODE_SMELL:10
src/helm/meet/templates/ingress_posthog_assets.yaml,9,MAJOR,"MINOR:8, MAJOR:1",CODE_SMELL:9
src/helm/meet/templates/ingress_webhook.yaml,9,MAJOR,"MINOR:8, MAJOR:1",CODE_SMELL:9
src/helm/meet/templates/ingress_posthog.yaml,9,MAJOR,"MINOR:8, MAJOR:1",CODE_SMELL:9
src/helm/meet/templates/ingress_media_files.yaml,8,MINOR,MINOR:8,CODE_SMELL:8
src/frontend/src/features/rooms/utils/getParticipantColor.ts,8,MAJOR,"MINOR:7, MAJOR:1",CODE_SMELL:8
src/summary/summary/api/route/tasks_v2.py,8,BLOCKER,"MAJOR:4, BLOCKER:4",CODE_SMELL:8
bin/install-external-secrets.sh,8,MAJOR,MAJOR:8,CODE_SMELL:8
bin/_config.sh,7,MAJOR,MAJOR:7,CODE_SMELL:7
src/frontend/src/features/rooms/livekit/hooks/useMediaQuery.ts,7,MINOR,MINOR:7,CODE_SMELL:7
src/frontend/src/features/settings/components/SettingsDialogExtended.tsx,7,MAJOR,"MINOR:2, MAJOR:5",CODE_SMELL:7
src/frontend/src/features/rooms/livekit/hooks/useResizeObserver.ts,6,MAJOR,"MINOR:5, MAJOR:1",CODE_SMELL:6
src/backend/core/migrations/0001_initial.py,6,CRITICAL,CRITICAL:6,CODE_SMELL:6
src/frontend/src/features/rooms/livekit/components/effects/EffectsConfiguration.tsx,6,MAJOR,"MINOR:4, MAJOR:2",CODE_SMELL:6
src/frontend/src/features/rooms/livekit/components/ParticipantTileFocus.tsx,6,MAJOR,"MINOR:5, MAJOR:1",CODE_SMELL:6
src/frontend/src/features/shortcuts/useLongPress.ts,5,MINOR,MINOR:5,CODE_SMELL:5
src/summary/summary/api/route/tasks.py,5,CRITICAL,CRITICAL:5,CODE_SMELL:5
src/frontend/src/features/rooms/livekit/components/controls/Participants/ParticipantsList.tsx,5,MINOR,"MINOR:2, INFO:3",CODE_SMELL:5
src/backend/core/models.py,5,MAJOR,MAJOR:5,CODE_SMELL:5
src/frontend/src/features/rooms/livekit/components/blur/BackgroundCustomProcessor.ts,5,MAJOR,"MINOR:2, MAJOR:1, INFO:2",CODE_SMELL:5
src/helm/meet/templates/celery_summarize_deployment.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/frontend/src/features/rooms/routes/Feedback.tsx,4,MAJOR,"MINOR:3, MAJOR:1",CODE_SMELL:4
src/frontend/src/features/home/components/JoinMeetingDialog.tsx,4,MINOR,MINOR:4,CODE_SMELL:4
src/frontend/src/features/rooms/components/Join.tsx,4,MAJOR,"MINOR:2, MAJOR:1, INFO:1",CODE_SMELL:4
src/helm/meet/templates/celery_backend_deployment.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/backend/core/migrations/0006_merge_duplicate_users.py,4,MAJOR,"MINOR:2, MAJOR:2",CODE_SMELL:4
src/frontend/src/utils/mergeProps.ts,4,MAJOR,"MINOR:3, MAJOR:1",CODE_SMELL:4
src/helm/extra/templates/external_secret.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/helm/meet/templates/agent_metadata_deployment.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/helm/meet/templates/summary_deployment.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/helm/meet/templates/frontend_deployment.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/sdk/consumer/src/App.tsx,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/helm/meet/templates/celery_summary_backend_deployment.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/helm/meet/templates/backend_job_migrate.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
src/helm/meet/templates/backend_job_createsuperuser.yaml,4,MAJOR,MAJOR:4,CODE_SMELL:4
